loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
3760,3747817,K04103.01,Kepler-1552 b,CONFIRMED,CANDIDATE,0.999,0,0,0,0,184.77271,0.002335,-0.002335,217.3573,0.0108,-0.0108,0.04,0.428,-0.04,9.568,0.287,-0.287,951.4,47,-47,0.027576,0.00136,-0.000793,1.92603,0.17365,-0.68489,LS+MCMC,2.41,0.22,-0.1,0.6045,,,89.98,,,268,,,1.21,0.35,-0.18,151.5,13.7,-13.7,21,2,8,1,q1_q17_dr25_tce,5273,105,-105,4.566,0.025,-0.07,0.801,0.072,-0.033,0.861,0.042,-0.053,291.67682,38.874908,14.838
3761,8483366,K04104.01,,FALSE POSITIVE,FALSE POSITIVE,,1,0,0,0,392.49728,0.0266,-0.0266,203.1308,0.0273,-0.0273,0.1658,0.3113,-0.1657,10.53,1.2,-1.2,1062,132,-132,0.029651,0.001931,-0.00239,2.97221,0.15013,-2.13152,MCMC,2.82,1.04,-0.21,1.0394,,,89.95,,,232,,,0.68,0.75,-0.16,289.3,14.6,-14.6,14.5,1,,,,5737,163,-157,4.544,0.027,-0.269,0.872,0.32,-0.067,0.969,0.087,-0.109,286.58932,44.5247,15.814
3762,7758018,K04105.01,,CANDIDATE,CANDIDATE,,0,0,0,0,363.41165,0.01446,-0.01446,404.2733,0.0223,-0.0223,0.3923,0.0723,-0.392,14.79,1.5,-1.5,961.7,81.6,-81.6,0.028751,0.000897,-0.002033,0.81439,0.42983,-0.32821,MCMC,3.14,1.19,-0.3,1.0229,,,89.95,,,263,,,1.12,1.25,-0.31,178.5,47.1,-47.1,17.4,1,,1,q1_q16_tce,6025,154,-201,4.472,0.046,-0.275,0.999,0.381,-0.094,1.08,0.18,-0.14,293.53253,43.406151,15.445
3763,9071593,K02257.02,,CANDIDATE,CANDIDATE,0.514,0,0,0,0,59.284064,0.0006992,-0.0006992,148.75407,0.00818,-0.00818,0.556,0.384,-0.346,5.42,0.311,-0.311,424.4,35.7,-35.7,0.0193,0.000286,-0.001774,1.95609,1.80864,-0.13396,LS+MCMC,1.81,0.13,-0.11,0.2832,,,89.55,,,401,,,6.14,1.39,-1.01,71.4,33,-33,13.1,2,24,2,q1_q17_dr25_tce,5225,83,-73,4.505,0.054,-0.054,0.859,0.063,-0.051,0.861,0.05,-0.041,283.29214,45.434109,15.48
3764,10089911,K04034.01,Kepler-1543 b,CONFIRMED,CANDIDATE,0.1,0,0,0,0,6.96704926,4.543E-05,-4.543E-05,138.24776,0.00468,-0.00468,0.906,0.015,-0.632,3.73,0.14,-0.14,213.7,13,-13,0.015917,0.000341,-0.002774,0.1128,1.13329,-0.04166,LS+MCMC,6.14,0.44,-1.88,0.0867,,,82.12,,,1774,,,2341.58,491.87,-1266.36,6.61,3.2,-3.2,18.6,2,157,1,q1_q17_dr25_tce,6303,82,-75,3.595,0.263,-0.031,3.53,0.254,-1.08,1.786,0.158,-0.236,297.1243,47.037022,13.487
3765,3247404,K04035.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,8.8109721,0.0001045,-0.0001045,136.4718,0.0137,-0.0137,1.227,70.51,-1.163,4.822,0.211,-0.211,24048,1052,-1052,0.439006,70.45605,-1.1213,0.28836,347.37277,-0.12154,LS+MCMC,47.94,0,0,0.0837,,,83.34,,,881,,,142.58,0,0,10.58,5.3,-5.3,26,1,52,1,q1_q17_dr25_tce,5780,,,4.438,,,1,,,1,,,294.46231,38.381912,18.533
3766,11415243,K04036.01,Kepler-1544 b,CONFIRMED,CANDIDATE,0.965,0,0,0,0,168.81133,0.002102,-0.002102,211.43982,0.00976,-0.00976,0.083,0.399,-0.083,6.582,0.36,-0.36,614.4,47.1,-47.1,0.021852,0.001501,-0.000986,5.27578,0.52419,-2.47748,LS+MCMC,1.69,0.1,-0.06,0.5459,,,89.98,,,241,,,0.8,0.17,-0.12,199.6,19.8,-19.8,15.3,1,9,1,q1_q17_dr25_tce,4798,95,-95,4.62,0.015,-0.045,0.707,0.043,-0.025,0.771,0.03,-0.048,297.285,49.21246,14.061
3767,3548044,K02194.02,Kepler-371 c,CONFIRMED,CANDIDATE,0.979,0,0,0,0,67.968656,0.0005854,-0.0005854,163.55972,0.00763,-0.00763,0.317,0.133,-0.317,7.948,0.158,-0.158,321.8,12.7,-12.7,0.016483,0.000417,-0.000587,1.02857,0.19312,-0.30609,LS+MCMC,1.71,0.22,-0.22,0.3031,,,89.71,,,443,,,9.09,3.48,-2.7,63.1,11.8,-11.8,27.3,3,22,2,q1_q17_dr25_tce,5670,113,-102,4.387,0.138,-0.092,0.95,0.124,-0.124,0.802,0.071,-0.036,292.32645,38.657581,13.865
3768,8264402,K04037.01,,CANDIDATE,CANDIDATE,0.964,0,0,0,0,215.956008,0.003459,-0.003459,271.3671,0.0124,-0.0124,0.959,0.011,-0.672,10.425,0.484,-0.484,392.7,18,-18,0.023402,0.000107,-0.004955,0.07344,2.51364,-0.04008,LS+MCMC,3.36,0.58,-0.43,0.7429,,,89.03,,,361,,,4.03,1.81,-1.13,56.6,28.1,-28.1,23.3,1,7,1,q1_q17_dr25_tce,6163,73,-86,4.27,0.103,-0.126,1.313,0.23,-0.167,1.174,0.094,-0.085,300.94568,44.164688,12.853
3769,7773179,K04038.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,2.15681538,1.724E-05,-1.724E-05,133.27151,0.00712,-0.00712,0.615,0.331,-0.385,5.115,0.251,-0.251,106.5,5.7,-5.7,0.009883,0.002405,-0.000461,0.07943,0.07305,-0.00679,LS+MCMC,1.06,0.32,-0.14,0.0326,,,76.79,,,1473,,,1114.9,991.14,-381.29,2.69,1.2,-1.2,22.6,1,632,1,q1_q17_dr25_tce,6084,169,-212,4.45,0.07,-0.21,0.983,0.296,-0.127,0.991,0.142,-0.129,297.81674,43.440411,14.758
