loc_rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_ror,koi_ror_err1,koi_ror_err2,koi_srho,koi_srho_err1,koi_srho_err2,koi_fittype,koi_prad,koi_prad_err1,koi_prad_err2,koi_sma,koi_sma_err1,koi_sma_err2,koi_incl,koi_incl_err1,koi_incl_err2,koi_teq,koi_teq_err1,koi_teq_err2,koi_insol,koi_insol_err1,koi_insol_err2,koi_dor,koi_dor_err1,koi_dor_err2,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err1,koi_smass_err2,ra,dec,koi_kepmag
1,10797460,K00752.01,Kepler-227 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.48803557,2.775E-05,-2.775E-05,170.53875,0.00216,-0.00216,0.146,0.318,-0.146,2.9575,0.0819,-0.0819,615.8,19.5,-19.5,0.022344,0.000832,-0.000528,3.20796,0.33173,-1.09986,LS+MCMC,2.26,0.26,-0.15,0.0853,,,89.66,,,793,,,93.59,29.45,-16.65,24.81,2.6,-2.6,35.8,2,142,1,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347
2,10797460,K00752.02,Kepler-227 c,CONFIRMED,CANDIDATE,0.969,0,0,0,0,54.4183827,0.0002479,-0.0002479,162.51384,0.00352,-0.00352,0.586,0.059,-0.443,4.507,0.116,-0.116,874.8,35.5,-35.5,0.027954,0.009078,-0.001347,3.02368,2.20489,-2.49638,LS+MCMC,2.83,0.32,-0.19,0.2734,,,89.57,,,443,,,9.11,2.87,-1.62,77.9,28.4,-28.4,25.8,2,25,2,q1_q17_dr25_tce,5455,81,-81,4.467,0.064,-0.096,0.927,0.105,-0.061,0.919,0.052,-0.046,291.93423,48.141651,15.347
3,10811496,K00753.01,,CANDIDATE,CANDIDATE,0,0,0,0,0,19.89913995,1.494E-05,-1.494E-05,175.850252,0.000581,-0.000581,0.969,5.126,-0.077,1.7822,0.0341,-0.0341,10829,171,-171,0.154046,5.034292,-0.042179,7.29555,35.03293,-2.75453,LS+MCMC,14.6,3.92,-1.31,0.1419,,,88.96,,,638,,,39.3,31.04,-10.49,53.5,25.7,-25.7,76.3,1,56,1,q1_q17_dr25_tce,5853,158,-176,4.544,0.044,-0.176,0.868,0.233,-0.078,0.961,0.11,-0.121,297.00482,48.134129,15.436
4,10848459,K00754.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,1.736952453,2.63E-07,-2.63E-07,170.307565,0.000115,-0.000115,1.276,0.115,-0.092,2.40641,0.00537,-0.00537,8079.2,12.8,-12.8,0.387394,0.109232,-0.08495,0.2208,0.00917,-0.01837,LS+MCMC,33.46,8.5,-2.83,0.0267,,,67.09,,,1395,,,891.96,668.95,-230.35,3.278,0.136,-0.136,505.6,1,621,1,q1_q17_dr25_tce,5805,157,-174,4.564,0.053,-0.168,0.791,0.201,-0.067,0.836,0.093,-0.077,285.53461,48.28521,15.597
5,10854555,K00755.01,Kepler-664 b,CONFIRMED,CANDIDATE,1,0,0,0,0,2.525591777,3.761E-06,-3.761E-06,171.59555,0.00113,-0.00113,0.701,0.235,-0.478,1.6545,0.042,-0.042,603.3,16.9,-16.9,0.024064,0.003751,-0.001522,1.98635,2.71141,-1.74541,LS+MCMC,2.75,0.88,-0.35,0.0374,,,85.41,,,1406,,,926.16,874.33,-314.24,8.75,4,-4,40.9,1,515,1,q1_q17_dr25_tce,6031,169,-211,4.438,0.07,-0.21,1.046,0.334,-0.133,1.095,0.151,-0.136,288.75488,48.2262,15.509
6,10872983,K00756.01,Kepler-228 d,CONFIRMED,CANDIDATE,1,0,0,0,0,11.09432054,2.036E-05,-2.036E-05,171.20116,0.00141,-0.00141,0.538,0.03,-0.428,4.5945,0.061,-0.061,1517.5,24.2,-24.2,0.036779,0.005115,-0.001065,0.67324,0.33286,-0.38858,LS+MCMC,3.9,1.27,-0.42,0.0992,,,88.11,,,835,,,114.81,112.85,-36.7,16.36,8.1,-8.1,66.5,3,95,1,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
7,10872983,K00756.02,Kepler-228 c,CONFIRMED,CANDIDATE,1,0,0,0,0,4.13443512,1.046E-05,-1.046E-05,172.97937,0.0019,-0.0019,0.762,0.139,-0.532,3.1402,0.0673,-0.0673,686,18.7,-18.7,0.026133,0.001968,-0.002055,0.37377,0.74768,-0.26357,LS+MCMC,2.77,0.9,-0.3,0.0514,,,83.72,,,1160,,,427.65,420.33,-136.7,6.96,2.8,-2.8,40.2,3,240,2,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
8,10872983,K00756.03,Kepler-228 b,CONFIRMED,CANDIDATE,0.992,0,0,0,0,2.56658897,1.781E-05,-1.781E-05,179.55437,0.00461,-0.00461,0.755,0.212,-0.523,2.429,0.165,-0.165,226.5,16.8,-16.8,0.014983,0.003935,-0.001417,0.48909,0.95593,-0.45121,LS+MCMC,1.59,0.52,-0.17,0.0374,,,82.17,,,1360,,,807.74,793.91,-258.2,5.54,2.7,-2.7,15,3,355,3,q1_q17_dr25_tce,6046,189,-232,4.486,0.054,-0.229,0.972,0.315,-0.105,1.053,0.135,-0.15,296.28613,48.22467,15.714
9,6721123,K00114.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,7.36178958,2.128E-05,-2.128E-05,132.25053,0.00253,-0.00253,1.169,7.133,-0.044,5.022,0.136,-0.136,233.7,5.8,-5.8,0.183387,7.128076,-0.043131,0.00485,0.27864,-0.00053,LS+MCMC,39.21,6.45,-9.67,0.082,,,60.92,,,1342,,,767.22,349.28,-365.49,2.4,1.2,-1.2,47.7,1,185,1,q1_q17_dr25_tce,6227,111,-124,3.986,0.182,-0.098,1.958,0.322,-0.483,1.358,0.121,-0.207,298.86435,42.151569,12.66
10,10910878,K00757.01,Kepler-229 c,CONFIRMED,CANDIDATE,1,0,0,0,0,16.06864674,1.088E-05,-1.088E-05,173.621937,0.000517,-0.000517,0.052,0.262,-0.052,3.5347,0.0241,-0.0241,4914.3,33.3,-33.3,0.062161,0.000913,-0.000428,3.6659,0.11507,-0.51226,LS+MCMC,5.76,0.22,-0.49,0.1158,,,89.92,,,600,,,30.75,4.46,-6.66,36.85,1.2,-1.2,161.9,3,69,1,q1_q17_dr25_tce,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,15.841
11,11446443,K00001.01,Kepler-1 b,CONFIRMED,CANDIDATE,0.811,0,0,0,0,2.470613377,2.7E-08,-2.7E-08,122.763305,8.7E-06,-8.7E-06,0.818,0.001,-0.001,1.74319,0.00107,-0.00107,14231,4.2,-4.2,0.123871,5.1E-05,-7.1E-05,1.83538,0.00587,-0.00846,LS+MCMC,13.04,0.51,-0.51,0.0354,,,84.41,,,1339,,,761.46,106.21,-95.76,8.3977,0.0269,-0.0269,4304.3,1,432,1,q1_q17_dr25_tce,5820,78,-78,4.457,0.024,-0.024,0.964,0.038,-0.038,0.971,0.062,-0.056,286.80847,49.316399,11.338
12,10666592,K00002.01,Kepler-2 b,CONFIRMED,CANDIDATE,1,0,1,0,0,2.204735417,4.3E-08,-4.3E-08,121.3585417,1.6E-05,-1.6E-05,0.224,0.159,-0.216,3.88864,0.00203,-0.00203,6674.7,1.7,-1.7,0.075522,0.000298,-0.00035,0.37936,0.02846,-0.02633,LS+MCMC,16.1,0.81,-0.91,0.0376,,,87.21,,,2048,,,4148.92,651.59,-654.46,4.602,0.345,-0.345,5945.9,1,611,1,q1_q17_dr25_tce,6440,76,-89,4.019,0.033,-0.027,1.952,0.099,-0.11,1.449,0.07,-0.091,292.24728,47.969521,10.463
13,6922244,K00010.01,Kepler-8 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,3.522498429,1.98E-07,-1.98E-07,121.1194228,4.71E-05,-4.71E-05,0.631,0.007,-0.007,3.19843,0.00653,-0.00653,9145.7,6.6,-6.6,0.092086,0.000141,-0.000177,0.65374,0.01481,-0.01458,LS+MCMC,14.59,1.11,-1.11,0.0473,,,85.2,,,1521,,,1264.67,307.23,-276.48,7.541,0.171,-0.171,1741.5,1,384,1,q1_q17_dr25_tce,6225,112,-137,4.169,0.055,-0.045,1.451,0.11,-0.11,1.132,0.108,-0.078,281.28812,42.45108,13.563
14,10984090,K00112.02,Kepler-466 c,CONFIRMED,CANDIDATE,1,0,0,0,0,3.709214104,6.536E-06,-6.536E-06,133.98318,0.00143,-0.00143,0.051,0.395,-0.051,2.6302,0.0427,-0.0427,131.1,3,-3,0.010424,0.000318,-0.000147,1.77451,0.06493,-0.57483,LS+MCMC,1.16,0.17,-0.12,0.0465,,,89.73,,,1206,,,500.46,197.96,-130.54,10.888,0.398,-0.398,50.6,2,352,2,q1_q17_dr25_tce,5833,105,-117,4.407,0.085,-0.114,1.022,0.143,-0.107,0.974,0.066,-0.066,295.64871,48.49556,12.772
15,10419211,K00742.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,11.521446064,1.98E-06,-1.98E-06,170.839688,0.000131,-0.000131,2.483,2.851,-0.673,3.6399,0.0114,-0.0114,17984,31.9,-31.9,1.625358,2.847129,-0.663339,1.27376,2.30242,-0.41065,LS+MCMC,150.51,39.76,-13.31,0.0978,,,83.13,,,753,,,75.88,58.89,-19.99,20.75,9.4,-9.4,622.1,1,96,1,q1_q17_dr25_tce,5795,155,-172,4.554,0.033,-0.176,0.848,0.224,-0.075,0.938,0.098,-0.109,297.07993,47.597401,15.472
16,10464078,K00743.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.40393776,2.068E-05,-2.068E-05,172.484253,0.000842,-0.000842,0.804,0.007,-0.005,12.2155,0.0598,-0.0598,8918.7,53.3,-53.3,0.096729,0.000533,-0.000532,0.03785,0.00107,-0.00172,LS+MCMC,7.18,0.76,-0.68,0.123,,,84.93,,,523,,,17.69,6.66,-4.88,9.099,0.257,-0.257,214.7,1,71,1,q1_q17_dr25_tce,5043,151,-151,4.591,0.072,-0.048,0.68,0.072,-0.065,0.657,0.085,-0.036,289.25821,47.635319,15.487
17,10480982,K00744.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.221388942,1.123E-06,-1.123E-06,184.5521637,4.5E-05,-4.5E-05,1.065,0.031,-0.034,4.79843,0.00235,-0.00235,74284,21.9,-21.9,0.476633,0.024501,-0.027744,1.57359,0.00657,-0.02917,LS+MCMC,49.29,16.03,-5,0.1417,,,88.05,,,698,,,55.97,54.55,-16.4,31.323,0.131,-0.131,2317,2,55,1,q1_q17_dr25_tce,6117,182,-200,4.496,0.052,-0.208,0.947,0.308,-0.096,1.025,0.139,-0.139,295.81454,47.69035,15.341
18,10485250,K00745.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,16.46983774,1.361E-05,-1.361E-05,180.881761,0.000623,-0.000623,0.292,0.118,-0.101,9.4378,0.06,-0.06,10479,39.9,-39.9,0.092509,0.000598,-0.001109,0.19353,0.02009,-0.01907,LS+MCMC,7.94,0.89,-0.89,0.1147,,,88.81,,,595,,,29.61,12.01,-8.91,14.05,1.5,-1.5,303.4,1,66,1,q1_q17_dr25_tce,5152,168,-153,4.517,0.088,-0.072,0.786,0.088,-0.088,0.741,0.106,-0.057,297.15442,47.668701,15.788
19,10526549,K00746.01,Kepler-660 b,CONFIRMED,CANDIDATE,1,0,0,0,0,9.27358173,1.037E-05,-1.037E-05,173.258155,0.000877,-0.000877,0.387,0.004,-0.386,3.2875,0.0309,-0.0309,1288.3,16.8,-16.8,0.032563,0.003061,-0.00063,1.93557,0.52971,-0.14046,LS+MCMC,2.47,0.2,-0.24,0.0759,,,88.93,,,649,,,41.85,12.49,-11.7,20.65,5.6,-5.6,87.2,1,144,1,q1_q17_dr25_tce,4856,131,-146,4.583,0.065,-0.035,0.696,0.056,-0.068,0.676,0.088,-0.047,288.13824,47.724449,15.302
20,10583066,K00747.01,Kepler-661 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.02930329,5.509E-06,-5.509E-06,171.602959,0.000713,-0.000713,0.258,0.196,-0.258,1.5821,0.0311,-0.0311,1912.7,34.4,-34.4,0.038838,0.001021,-0.001203,13.09803,1.84066,-3.66782,LS+MCMC,2.85,0.26,-0.15,0.0585,,,89.5,,,678,,,50.04,16.4,-9.88,29.31,4.1,-4.1,65.4,1,215,1,q1_q17_dr25_tce,4537,123,-123,4.648,0.02,-0.056,0.672,0.062,-0.036,0.761,0.033,-0.067,283.71088,47.86327,15.784
21,10583180,K00748.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,1,2.696370652,7.534E-06,-7.534E-06,170.73769,0.00234,-0.00234,0.044,0.36,-0.044,3.6129,0.0686,-0.0686,397.9,9.5,-9.5,0.017673,0.000551,-0.000311,0.51471,0.01428,-0.14593,LS+MCMC,1.58,0.13,-0.16,0.0349,,,89.56,,,1066,,,305.34,96.64,-86.33,5.827,0.162,-0.162,48.2,1,501,1,q1_q17_dr25_tce,4989,149,-149,4.504,0.09,-0.06,0.819,0.067,-0.082,0.781,0.078,-0.056,283.76547,47.804298,15.269
22,10601284,K00749.01,Kepler-226 c,CONFIRMED,CANDIDATE,1,0,0,0,0,5.349553819,8.834E-06,-8.834E-06,171.80694,0.00127,-0.00127,0.092,0.369,-0.092,3.0278,0.0471,-0.0471,831,14.8,-14.8,0.025706,0.000845,-0.000453,1.73782,0.00625,-0.73875,LS+MCMC,2.55,0.16,-0.24,0.0563,,,89.62,,,919,,,168.99,34.66,-38.48,13.8015,0.0496,-0.0496,60.6,3,247,1,q1_q17_dr25_tce,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,15.416
23,10601284,K00749.02,Kepler-226 b,CONFIRMED,CANDIDATE,0.98,0,0,0,0,3.94105221,1.094E-05,-1.094E-05,136.08662,0.00233,-0.00233,0.226,0.243,-0.226,2.5984,0.0737,-0.0737,363.3,13.9,-13.9,0.017105,0.000703,-0.000557,1.85636,0.37935,-0.52982,LS+MCMC,1.7,0.11,-0.16,0.046,,,88.88,,,1018,,,253.15,51.91,-57.65,11.51,2.4,-2.4,28.9,3,322,2,q1_q17_dr25_tce,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,15.416
24,10601284,K00749.03,Kepler-226 d,CONFIRMED,CANDIDATE,0.971,0,0,0,0,8.10904807,6.787E-05,-6.787E-05,132.8031,0.00716,-0.00716,0.025,0.425,-0.025,3.596,0.198,-0.198,217.4,16.8,-16.8,0.013127,0.00087,-0.000503,1.5302,0.23293,-0.63643,LS+MCMC,1.3,0.09,-0.12,0.0743,,,89.92,,,800,,,97.03,19.9,-22.09,17.46,2.7,-2.7,14.1,3,141,3,q1_q17_dr25_tce,5185,85,-77,4.44,0.098,-0.045,0.91,0.057,-0.086,0.831,0.058,-0.032,292.37613,47.880989,15.416
25,2306756,K00113.01,,FALSE POSITIVE,FALSE POSITIVE,,0,1,0,0,386.6030528,0.0001369,-0.0001369,166.342079,0.000299,-0.000299,0.9765,0.0497,-0.0268,6.8057,0.0184,-0.0184,24927,45.8,-45.8,0.240528,0.03529,-0.019779,4.63335,0.31031,-0.12558,MCMC,41.5,1.68,-1.68,1.0719,,,89.95,,,297,,,1.84,0.26,-0.24,332,22.2,-22.2,994,1,,1,q1_q16_tce,5543,79,-79,4.081,0.014,-0.014,1.58,0.064,-0.064,1.103,0.097,-0.097,292.27374,37.671558,12.394
26,10662202,K00750.01,Kepler-662 b,CONFIRMED,CANDIDATE,1,0,0,0,0,21.67699193,7.01E-05,-7.01E-05,171.53594,0.00258,-0.00258,0.896,0.01,-0.663,3.4555,0.0656,-0.0656,857.2,27.1,-27.1,0.032666,2.1E-05,-0.005743,0.60007,4.80948,-0.06216,LS+MCMC,2.95,0.12,-0.23,0.1408,,,87.91,,,530,,,18.64,2.78,-3.8,24.6,11.6,-11.6,34.3,4,62,1,q1_q17_dr25_tce,4954,79,-79,4.5,0.075,-0.02,0.828,0.032,-0.065,0.791,0.05,-0.029,290.46512,47.92918,15.377
27,10682541,K00751.01,Kepler-663 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.99677968,1.389E-05,-1.389E-05,171.74208,0.00219,-0.00219,0.71,0.006,-0.533,2.1717,0.0762,-0.0762,934.7,39.7,-39.7,0.030014,0.004603,-0.002436,1.71827,2.68075,-1.40683,LS+MCMC,2.78,0.52,-0.23,0.0559,,,86.9,,,917,,,166.95,102.06,-42.14,13.14,5.1,-5.1,28.2,1,208,1,q1_q17_dr25_tce,5339,175,-159,4.552,0.034,-0.136,0.847,0.161,-0.069,0.931,0.063,-0.094,297.80826,47.946671,15.861
28,11460018,K00769.01,Kepler-671 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.280963604,6.141E-06,-6.141E-06,171.89659,0.00115,-0.00115,0.424,0.112,-0.356,2.875,0.042,-0.042,750.8,14.1,-14.1,0.025377,0.000141,-0.000935,1.24482,0.4541,-0.15577,LS+MCMC,2.3,0.58,-0.19,0.0503,,,87.72,,,1012,,,247.87,182.24,-63.32,10.64,3.9,-3.9,61.8,1,311,1,q1_q17_dr25_tce,5644,152,-169,4.564,0.032,-0.168,0.831,0.207,-0.069,0.928,0.094,-0.115,294.26581,49.314091,15.356
29,11463211,K00770.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,0,1,0,1.50635409,4.7E-07,-4.7E-07,170.998064,0.000246,-0.000246,0.86,0.042,-0.125,1.5155,0.0483,-0.0483,2211.7,18.3,-18.3,0.049899,0.002001,-0.004217,0.84722,0.97599,-0.30543,LS+MCMC,4.53,1.01,-0.44,0.025,,,79.38,,,1452,,,1054.12,703.1,-292.26,4.67,1.8,-1.8,181.1,1,882,1,q1_q17_dr25_tce,5714,155,-172,4.563,0.04,-0.16,0.831,0.186,-0.08,0.926,0.09,-0.11,295.66522,49.351009,15.525
30,11465813,K00771.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,670.645531,0.001237,-0.001237,209.04355,0.00157,-0.00157,0.701,0.004,-0.005,53.412,0.131,-0.131,18091,33.5,-33.5,0.131705,0.000242,-0.000326,0.02605,0.00045,-0.00046,LS+MCMC,14.14,2.13,-0.71,1.5155,,,89.53,,,196,,,0.35,0.15,-0.06,85.24,1.5,-1.5,642.7,1,3,1,q1_q17_dr25_tce,5520,100,-111,4.466,0.032,-0.12,0.983,0.148,-0.049,1.03,0.042,-0.058,296.69861,49.316479,15.207
31,11493732,K00772.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,61.2563628,0.000156,-0.000156,173.83826,0.00209,-0.00209,1.248,6.912,-0.067,7.633,0.105,-0.105,5123.3,70.6,-70.6,0.334628,6.817256,-0.062365,0.12411,1.16709,-0.01383,LS+MCMC,39.87,12.79,-5.48,0.3137,,,87.54,,,505,,,15.43,14.85,-5.51,29.1,14.4,-14.4,85.3,1,13,1,q1_q17_dr25_tce,6144,184,-220,4.402,0.072,-0.217,1.091,0.35,-0.15,1.093,0.166,-0.135,283.72592,49.479519,15.25
32,11507101,K00773.01,Kepler-672 b,CONFIRMED,CANDIDATE,1,0,0,0,0,38.3775486,0.0001602,-0.0001602,172.82048,0.00338,-0.00338,0.468,0.461,-0.267,5.588,0.113,-0.113,724.2,23.4,-23.4,0.024901,0.000184,-0.001271,1.40588,0.66103,-0.15885,LS+MCMC,2.82,0.37,-0.34,0.2163,,,89.44,,,529,,,18.53,6.72,-4.93,47.8,22.5,-22.5,34.7,1,37,1,q1_q17_dr25_tce,5481,82,-74,4.369,0.121,-0.099,1.036,0.138,-0.124,0.915,0.061,-0.042,291.72202,49.480869,15.172
33,10910878,K00757.02,Kepler-229 d,CONFIRMED,CANDIDATE,0.992,0,0,0,0,41.19725502,9.345E-05,-9.345E-05,165.00404,0.00171,-0.00171,0.045,0.337,-0.045,4.6297,0.0633,-0.0633,2213.9,45.5,-45.5,0.041693,0.00118,-0.000613,3.9471,0.11711,-0.98055,LS+MCMC,3.86,0.15,-0.33,0.217,,,89.96,,,439,,,8.76,1.27,-1.9,70.75,2.1,-2.1,51.2,3,26,2,q1_q17_dr25_tce,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,15.841
34,10910878,K00757.03,Kepler-229 b,CONFIRMED,CANDIDATE,1,0,0,0,0,6.252962249,9.577E-06,-9.577E-06,171.30126,0.00117,-0.00117,0.105,0.329,-0.105,2.5819,0.0426,-0.0426,1036.9,24.5,-24.5,0.028604,0.001027,-0.000484,3.28707,0.14618,-1.14248,LS+MCMC,2.65,0.1,-0.23,0.0617,,,89.68,,,823,,,108.3,15.73,-23.44,18.94,0.842,-0.842,47.1,3,167,3,q1_q17_dr25_tce,5031,75,-83,4.485,0.083,-0.028,0.848,0.033,-0.072,0.801,0.052,-0.03,286.99948,48.37579,15.841
35,10987985,K00758.01,Kepler-665 b,CONFIRMED,CANDIDATE,1,0,0,0,0,16.01308419,4.854E-05,-4.854E-05,176.3608,0.00243,-0.00243,0.799,0.097,-0.551,3.2554,0.0791,-0.0791,1121.9,39.4,-39.4,0.034369,0.003169,-0.004367,1.10942,3.17981,-0.14515,LS+MCMC,3.1,0.34,-0.31,0.1148,,,88.14,,,593,,,29.31,11.77,-8.24,24.7,11.8,-11.8,33.2,1,65,1,q1_q17_dr25_tce,5015,164,-149,4.499,0.092,-0.115,0.826,0.091,-0.082,0.785,0.085,-0.056,297.02563,48.478588,15.39
36,11018648,K00759.01,Kepler-230 b,CONFIRMED,CANDIDATE,1,0,0,0,0,32.62876672,5.801E-05,-5.801E-05,194.1019,0.00138,-0.00138,0.021,0.402,-0.021,4.7971,0.058,-0.058,1804.8,25.4,-25.4,0.03852,0.000971,-0.000365,2.79093,0.07518,-0.76489,LS+MCMC,3.36,0.76,-0.33,0.1889,,,89.98,,,506,,,15.55,10.51,-4.18,53.95,1.5,-1.5,80,2,34,1,q1_q17_dr25_tce,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,0.844,0.097,-0.078,285.71854,48.505859,15.082
37,11018648,K00759.02,Kepler-230 c,CONFIRMED,CANDIDATE,0.978,0,0,0,0,91.7732862,0.0007518,-0.0007518,193.8378,0.00643,-0.00643,0.606,0.335,-0.4,6.473,0.204,-0.204,652,36.2,-36.2,0.02432,0.007051,-0.001216,1.60558,1.35632,-1.4525,LS+MCMC,2.12,0.48,-0.21,0.3764,,,89.61,,,359,,,3.92,2.64,-1.06,89.4,37.8,-37.8,19.1,2,11,2,q1_q17_dr25_tce,5586,152,-152,4.56,0.05,-0.15,0.798,0.181,-0.077,0.844,0.097,-0.078,285.71854,48.505859,15.082
38,11138155,K00760.01,,CANDIDATE,CANDIDATE,1,0,0,0,0,4.959319244,5.15E-07,-5.15E-07,172.2585292,8.27E-05,-8.27E-05,0.831,0.016,-0.004,2.22739,0.0075,-0.0075,9802,20,-20,0.103379,0.001245,-7.4E-05,1.46169,0.05503,-0.18338,LS+MCMC,12.21,1.96,-1.46,0.0565,,,86.15,,,1103,,,349.4,146.52,-93.21,12.386,0.466,-0.466,696.5,1,269,1,q1_q17_dr25_tce,5712,77,-77,4.359,0.11,-0.11,1.082,0.173,-0.13,0.976,0.073,-0.055,292.16705,48.727589,15.263
39,11152159,K00761.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,1,0,2.701287801,5.634E-06,-5.634E-06,170.69579,0.00164,-0.00164,1.016,3.967,-0.059,3.3827,0.0892,-0.0892,860.4,20.9,-20.9,0.06584,3.758761,-0.032101,0.02818,0.41088,-0.00767,LS+MCMC,6.54,1.64,-0.75,0.0365,,,62.69,,,1222,,,527.81,411.33,-166.35,2.22,1.1,-1.1,48.3,1,387,1,q1_q17_dr25_tce,5550,182,-182,4.468,0.091,-0.169,0.91,0.228,-0.105,0.889,0.102,-0.083,297.92365,48.777321,15.54
40,11153539,K00762.01,Kepler-666 b,CONFIRMED,CANDIDATE,1,0,0,0,0,4.49876511,1.777E-05,-1.777E-05,171.34905,0.003,-0.003,0.312,0.154,-0.312,3.7362,0.0934,-0.0934,460,17.5,-17.5,0.019817,0.000458,-0.000789,0.67106,0.14046,-0.19399,LS+MCMC,2.1,0.65,-0.22,0.0542,,,88,,,1133,,,389.62,365.71,-117.4,8.95,1.9,-1.9,29.5,1,238,1,q1_q17_dr25_tce,6075,189,-210,4.486,0.052,-0.208,0.969,0.3,-0.1,1.048,0.139,-0.139,298.45685,48.791592,15.395
41,11242721,K00763.01,,FALSE POSITIVE,FALSE POSITIVE,0,0,1,0,0,19.651209505,5.862E-06,-5.862E-06,179.401981,0.000249,-0.000249,0.723,0.01,-0.02,5.2514,0.0179,-0.0179,11766,27.7,-27.7,0.106953,0.000536,-5.1E-05,0.67559,0.05956,-0.03177,LS+MCMC,12.42,3.92,-1.69,0.1433,,,88.27,,,730,,,67.03,62.46,-23.51,23.98,2.1,-2.1,513.4,1,59,1,q1_q17_dr25_tce,6074,168,-210,4.391,0.09,-0.21,1.063,0.336,-0.144,1.014,0.153,-0.126,291.0939,48.933842,15.536
42,9579641,K00115.01,Kepler-105 b,CONFIRMED,CANDIDATE,1,0,0,0,0,5.412203927,3.052E-06,-3.052E-06,133.143089,0.000468,-0.000468,0.787,0.005,-0.565,2.9472,0.024,-0.024,601.6,4,-4,0.024775,6E-05,-0.001886,0.51087,1.25402,-0.00404,LS+MCMC,2.94,0.43,-0.38,0.0591,,,85.12,,,1093,,,337.68,137.29,-102.18,9.25,4.5,-4.5,166.7,3,244,1,q1_q17_dr25_tce,5779,104,-115,4.339,0.132,-0.108,1.087,0.157,-0.142,0.941,0.074,-0.054,287.88733,46.276241,12.791
43,11304958,K00764.01,Kepler-667 b,CONFIRMED,CANDIDATE,0.998,0,0,0,0,41.43958662,7.557E-05,-7.557E-05,208.93203,0.00142,-0.00142,0.355,0.04,-0.355,10.5989,0.088,-0.088,2793.1,22.6,-22.6,0.048175,0.000284,-0.001083,0.28189,0.06167,-0.03545,LS+MCMC,5.5,1.57,-0.96,0.2288,,,89.31,,,516,,,16.72,14.66,-6.64,29.47,6.4,-6.4,141.1,1,33,1,q1_q17_dr25_tce,5468,180,-164,4.367,0.153,-0.187,1.046,0.297,-0.183,0.93,0.092,-0.074,295.55505,49.017342,15.4
44,11391957,K00765.01,Kepler-668 b,CONFIRMED,CANDIDATE,1,0,0,0,0,8.35389523,1.524E-05,-1.524E-05,171.63257,0.00133,-0.00133,0.023,0.423,-0.023,2.2514,0.0518,-0.0518,1041.6,28.2,-28.2,0.029305,0.000955,-0.000532,6.73215,0.38293,-2.25954,LS+MCMC,2.52,0.54,-0.24,0.0768,,,89.95,,,790,,,91.9,59.06,-24.15,29.18,1.7,-1.7,43.4,1,127,1,q1_q17_dr25_tce,5592,152,-152,4.582,0.036,-0.144,0.787,0.169,-0.073,0.862,0.089,-0.097,285.49924,49.277351,15.317
