,Kepler ID
541,1570221
542,1570253
543,1570270
544,1570275
545,1570311
546,1570349
547,1570366
548,1570400
549,1570466
550,1570529
551,1570552
552,1570554
553,1570608
554,1570617
555,1570649
556,1570703
557,1570711
558,1570713
559,1570915
560,1570918
561,1570924
562,1570929
563,1570994
564,1571003
565,1571088
566,1571152
567,1571237
568,1571298
569,1571340
570,1571364
571,1571511
572,1571717
573,1571727
574,1571732
575,1571780
576,1572038
577,1572049
578,1572094
579,1572114
580,1572156
581,1572175
582,1572201
583,1572220
584,1572222
585,1572317
586,1572352
587,1572353
588,1572418
589,1572433
590,1572463
591,1572558
592,1572685
593,1572725
594,1572762
595,1572768
596,1572780
597,1572802
598,1572851
599,1572895
600,1572910
601,1572948
602,1572999
603,1573013
604,1573064
605,1573094
606,1573138
607,1573149
608,1573174
609,1573398
610,1573478
611,1573666
612,1573742
613,1573836
614,1573867
615,1573872
616,1573876
617,1573925
618,1573954
619,1573967
620,1574033
621,1574272
622,1574306
623,1574361
624,1574376
625,1574521
626,1574524
627,1574550
628,1574646
629,1574753
630,1574792
631,1574944
632,1575133
633,1575183
634,1575203
635,1575206
636,1575422
637,1575424
638,1575570
639,1575580
640,1575672
641,1575690
642,1575831
643,1575851
644,1575855
645,1575873
646,1575886
647,1575888
648,1575893
649,1575919
650,1575977
651,1576043
652,1576071
653,1576108
654,1576115
655,1576117
656,1576141
657,1576144
658,1576249
659,1576312
660,1576351
661,1576420
662,1576469
663,1576497
664,1576508
665,1576558
666,1576607
667,1576623
668,1576646
669,1576648
670,1576662
671,1576704
672,1576739
673,1576744
674,1576756
675,1576782
676,1576789
677,1576796
678,1576877
679,1576970
680,1577003
681,1577013
682,1577039
683,1577073
684,1577077
685,1577143
686,1577144
687,1577167
688,1577202
689,1577215
690,1577221
691,1577265
692,1577315
693,1577365
694,1577769
695,1577819
696,1577912
697,1578131
698,1701525
699,1701551
700,1701553
701,1701554
702,1701656
703,1701672
704,1701678
705,1701679
706,1701692
707,1701763
708,1701801
709,1717095
710,1717106
711,1717128
712,1717242
713,1717271
714,1717285
715,1717316
716,1717382
717,1717384
718,1717435
719,1717465
720,1717515
721,1717528
722,1717574
723,1717618
724,1717672
725,1717717
726,1717722
727,1717783
728,1717789
729,1717797
730,1717867
731,1717921
732,1717959
733,1717988
734,1717990
735,1717994
736,1717999
737,1718046
738,1718059
739,1718071
740,1718189
741,1718206
742,1718222
743,1718290
744,1718354
745,1718360
746,1718367
747,1718373
748,1718397
749,1718401
750,1718423
751,1718456
752,1718520
753,1718537
754,1718550
755,1718585
756,1718594
757,1718665
758,1718670
759,1718740
760,1718743
761,1718753
762,1718761
763,1718828
764,1718831
765,1718923
766,1718943
767,1718958
768,1718985
769,1719026
770,1719065
771,1719093
772,1719124
773,1719166
774,1719227
775,1719262
776,1719297
777,1719308
778,1719358
779,1719371
780,1719422
781,1719472
782,1719550
783,1719557
784,1719667
785,1719697
786,1719927
787,1719974
788,1720048
789,1720182
790,1720196
791,1720224
792,1720241
793,1720425
794,1720554
795,1720670
796,1720673
797,1720728
798,1720785
799,1720794
800,1720810
801,1720964
802,1721071
803,1721110
804,1721133
805,1721150
806,1721157
807,1721218
808,1721231
809,1721247
810,1721361
811,1721409
812,1721439
813,1721512
814,1721523
815,1721558
816,1721595
817,1721614
818,1721724
819,1721725
820,1721787
821,1721795
822,1721825
823,1721879
824,1721911
825,1721921
826,1722134
827,1722241
828,1722276
829,1722289
830,1722303
831,1722506
832,1722549
833,1722591
834,1722623
835,1722627
836,1722735
837,1722776
838,1722816
839,1722916
840,1722956
841,1723047
842,1723078
843,1723135
844,1723146
845,1723157
846,1723191
847,1723338
848,1723350
849,1723411
850,1723449
851,1723455
852,1723516
853,1723529
854,1723617
855,1723618
856,1723624
857,1723638
858,1723656
859,1723671
860,1723700
861,1723752
862,1723843
863,1723845
864,1723908
865,1723918
866,1723919
867,1723978
868,1723993
869,1724041
870,1724079
871,1724096
872,1724171
873,1724222
874,1724227
875,1724234
876,1724287
877,1724304
878,1724316
879,1724342
880,1724355
881,1724385
882,1724411
883,1724498
884,1724513
885,1724529
886,1724615
887,1724629
888,1724679
889,1724719
890,1724720
891,1724801
892,1724806
893,1724842
894,1724872
895,1724879
896,1724961
897,1724968
898,1724975
899,1725016
900,1725017
901,1725018
902,1725053
903,1725096
904,1725133
905,1725153
906,1725183
907,1725190
908,1725193
909,1725207
910,1725310
911,1725330
912,1725372
913,1725376
914,1725415
915,1725457
916,1725470
917,1725486
918,1725508
919,1725533
920,1725552
921,1725555
922,1725558
923,1725626
924,1725633
925,1725688
926,1725732
927,1725796
928,1725815
929,1725848
930,1725893
931,1725907
932,1725920
933,1725952
934,1725953
935,1725997
936,1726035
937,1726045
938,1726097
939,1726154
940,1726211
941,1726231
942,1726245
943,1726291
944,1726318
945,1726425
946,1726636
947,1726688
948,1726747
949,1849064
950,1849130
951,1849159
952,1849195
953,1849235
954,1849238
955,1849249
956,1849321
957,1849326
958,1849334
959,1849341
960,1849386
961,1849398
962,1849403
963,1849415
964,1849430
965,1849462
966,1849471
967,1849474
968,1849500
969,1849513
970,1849547
971,1849555
972,1849572
973,1849581
974,1849587
975,1849590
976,1849610
977,1849624
978,1849656
979,1849664
980,1849679
981,1849689
982,1849698
983,1849702
984,1849714
985,1849734
986,1849785
987,1849829
988,1849846
989,1849885
990,1849959
991,1850007
992,1850100
993,1850194
994,1850285
995,1863893
996,1863905
997,1863909
998,1863995
999,1864041
1000,1864065
1001,1864087
1002,1864124
1003,1864178
1004,1864183
1005,1864220
1006,1864258
1007,1864284
1008,1864305
1009,1864365
1010,1864521
1011,1864523
1012,1864603
1013,1864748
1014,1864823
1015,1864855
1016,1864858
1017,1864891
1018,1864894
1019,1864909
1020,1864951
1021,1864959
