,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
0,10797460,K00752.01,Kepler-227 b,CONFIRMED,1.0,9.48803557,2.26,24.81,2,1.0,0.927,0.919
1,10797460,K00752.02,Kepler-227 c,CONFIRMED,0.969,54.4183827,2.83,77.9,2,2.0,0.927,0.919
4,10854555,K00755.01,Kepler-664 b,CONFIRMED,1.0,2.525591777,2.75,8.75,1,1.0,1.046,1.095
5,10872983,K00756.01,Kepler-228 d,CONFIRMED,1.0,11.09432054,3.9,16.36,3,1.0,0.972,1.053
6,10872983,K00756.02,Kepler-228 c,CONFIRMED,1.0,4.13443512,2.77,6.96,3,2.0,0.972,1.053
7,10872983,K00756.03,Kepler-228 b,CONFIRMED,0.992,2.56658897,1.59,5.54,3,3.0,0.972,1.053
9,10910878,K00757.01,Kepler-229 c,CONFIRMED,1.0,16.06864674,5.76,36.85,3,1.0,0.848,0.8009999999999999
10,11446443,K00001.01,Kepler-1 b,CONFIRMED,0.8109999999999999,2.470613377,13.04,8.3977,1,1.0,0.964,0.971
11,10666592,K00002.01,Kepler-2 b,CONFIRMED,1.0,2.204735417,16.1,4.602,1,1.0,1.952,1.449
12,6922244,K00010.01,Kepler-8 b,CONFIRMED,0.998,3.522498429,14.59,7.541,1,1.0,1.4509999999999998,1.132
13,10984090,K00112.02,Kepler-466 c,CONFIRMED,1.0,3.709214104,1.16,10.888,2,2.0,1.022,0.974
18,10526549,K00746.01,Kepler-660 b,CONFIRMED,1.0,9.27358173,2.47,20.65,1,1.0,0.696,0.6759999999999999
19,10583066,K00747.01,Kepler-661 b,CONFIRMED,1.0,6.02930329,2.85,29.31,1,1.0,0.672,0.7609999999999999
21,10601284,K00749.01,Kepler-226 c,CONFIRMED,1.0,5.349553819,2.55,13.8015,3,1.0,0.91,0.831
22,10601284,K00749.02,Kepler-226 b,CONFIRMED,0.98,3.94105221,1.7,11.51,3,2.0,0.91,0.831
23,10601284,K00749.03,Kepler-226 d,CONFIRMED,0.971,8.10904807,1.3,17.46,3,3.0,0.91,0.831
25,10662202,K00750.01,Kepler-662 b,CONFIRMED,1.0,21.67699193,2.95,24.6,4,1.0,0.828,0.7909999999999999
26,10682541,K00751.01,Kepler-663 b,CONFIRMED,1.0,4.99677968,2.78,13.14,1,1.0,0.847,0.931
27,11460018,K00769.01,Kepler-671 b,CONFIRMED,1.0,4.280963604,2.3,10.64,1,1.0,0.831,0.928
31,11507101,K00773.01,Kepler-672 b,CONFIRMED,1.0,38.3775486,2.82,47.8,1,1.0,1.036,0.915
32,10910878,K00757.02,Kepler-229 d,CONFIRMED,0.992,41.19725502,3.86,70.75,3,2.0,0.848,0.8009999999999999
33,10910878,K00757.03,Kepler-229 b,CONFIRMED,1.0,6.2529622489999985,2.65,18.94,3,3.0,0.848,0.8009999999999999
34,10987985,K00758.01,Kepler-665 b,CONFIRMED,1.0,16.01308419,3.1,24.7,1,1.0,0.826,0.785
35,11018648,K00759.01,Kepler-230 b,CONFIRMED,1.0,32.62876672,3.36,53.95,2,1.0,0.7979999999999999,0.8440000000000001
36,11018648,K00759.02,Kepler-230 c,CONFIRMED,0.978,91.7732862,2.12,89.4,2,2.0,0.7979999999999999,0.8440000000000001
39,11153539,K00762.01,Kepler-666 b,CONFIRMED,1.0,4.49876511,2.1,8.95,1,1.0,0.969,1.048
41,9579641,K00115.01,Kepler-105 b,CONFIRMED,1.0,5.412203927,2.94,9.25,3,1.0,1.087,0.941
42,11304958,K00764.01,Kepler-667 b,CONFIRMED,0.998,41.43958662,5.5,29.47,1,1.0,1.046,0.93
43,11391957,K00765.01,Kepler-668 b,CONFIRMED,1.0,8.35389523,2.52,29.18,1,1.0,0.787,0.862
44,11403044,K00766.01,Kepler-669 b,CONFIRMED,1.0,4.125543472,4.43,8.45,1,1.0,1.103,1.162
45,11414511,K00767.01,Kepler-670 b,CONFIRMED,1.0,2.816504904,12.21,9.571,1,1.0,0.955,0.941
47,12110942,K00786.01,Kepler-680 b,CONFIRMED,1.0,3.689920099,1.89,10.71,1,1.0,0.917,1.01
48,12366084,K00787.01,Kepler-232 b,CONFIRMED,1.0,4.431238488,3.25,10.19,3,1.0,1.015,1.007
49,12366084,K00787.02,Kepler-232 c,CONFIRMED,1.0,11.37936986,3.95,16.31,3,2.0,1.015,1.007
50,12404086,K00788.01,Kepler-681 b,CONFIRMED,1.0,26.39432897,3.07,47.7,1,1.0,0.763,0.846
51,8395660,K00116.01,Kepler-106 c,CONFIRMED,1.0,13.57078281,2.64,16.93,4,1.0,1.012,0.951
52,9579641,K00115.02,Kepler-105 c,CONFIRMED,1.0,7.12594387,1.79,8.62,3,2.0,1.087,0.941
54,11754553,K00775.01,Kepler-52 c,CONFIRMED,1.0,16.38489988,2.0,42.62,3,2.0,0.615,0.633
55,11754553,K00775.02,Kepler-52 b,CONFIRMED,1.0,7.8774163,2.16,29.84,3,1.0,0.615,0.633
56,11754553,K00775.03,Kepler-52 d,CONFIRMED,1.0,36.4454001,1.99,71.53,3,3.0,0.615,0.633
57,11812062,K00776.01,Kepler-673 b,CONFIRMED,1.0,3.728732147,6.02,9.7,1,1.0,0.809,0.907
59,11853255,K00778.01,Kepler-674 b,CONFIRMED,1.0,2.243380573,1.99,7.38,1,1.0,0.564,0.578
61,11918099,K00780.01,Kepler-675 b,CONFIRMED,1.0,2.337437946,2.34,8.86,2,1.0,0.765,0.85
64,11923270,K00781.01,Kepler-676 b,CONFIRMED,1.0,11.59822233,2.65,28.2,1,1.0,0.473,0.503
65,11960862,K00782.01,Kepler-677 b,CONFIRMED,1.0,6.575315881,5.31,11.37,1,1.0,0.989,0.927
66,12020329,K00783.01,Kepler-678 b,CONFIRMED,1.0,7.2750408439999985,4.86,6.66,1,1.0,0.867,0.986
67,12066335,K00784.01,Kepler-231 c,CONFIRMED,1.0,19.27153892,1.93,55.02,2,1.0,0.56,0.5760000000000001
68,12066335,K00784.02,Kepler-231 b,CONFIRMED,1.0,10.06524317,1.91,45.9,2,2.0,0.56,0.5760000000000001
69,12070811,K00785.01,Kepler-679 b,CONFIRMED,1.0,12.3935651,2.66,13.07,1,1.0,0.75,0.8320000000000001
70,8395660,K00116.02,Kepler-106 e,CONFIRMED,0.998,43.84439721,2.87,28.2,4,2.0,1.012,0.951
73,3342970,K00800.01,Kepler-234 b,CONFIRMED,1.0,2.711504086,3.12,7.087999999999999,2,1.0,1.0759999999999998,1.169
74,3342970,K00800.02,Kepler-234 c,CONFIRMED,1.0,7.21203748,3.32,14.003,2,2.0,1.0759999999999998,1.169
76,12470844,K00790.01,Kepler-233 b,CONFIRMED,1.0,8.47237911,2.59,24.47,2,1.0,0.7879999999999999,0.884
77,12470844,K00790.02,Kepler-233 c,CONFIRMED,0.989,60.41893689999999,2.36,93.71,2,2.0,0.7879999999999999,0.884
78,12644822,K00791.01,Kepler-682 b,CONFIRMED,1.0,12.611904345,7.4,17.27,1,1.0,0.919,0.992
81,2713049,K00794.01,Kepler-683 b,CONFIRMED,1.0,2.539183147,2.06,7.93,1,1.0,1.062,0.921
82,3114167,K00795.01,Kepler-684 b,CONFIRMED,1.0,6.770300385,2.77,15.21,1,1.0,0.679,0.767
85,4139816,K00812.02,Kepler-235 d,CONFIRMED,1.0,20.06036336,1.96,40.4,4,2.0,0.493,0.502
86,4139816,K00812.03,Kepler-235 e,CONFIRMED,1.0,46.1842039,1.83,76.67,4,3.0,0.493,0.502
87,8395660,K00116.04,Kepler-106 d,CONFIRMED,0.952,23.9800854,1.31,11.98,4,4.0,1.012,0.951
88,4139816,K00812.04,Kepler-235 c,CONFIRMED,0.994,7.82502168,1.2,20.2,4,4.0,0.493,0.502
89,4275191,K00813.01,Kepler-688 b,CONFIRMED,1.0,3.895936525,7.34,12.29,1,1.0,0.774,0.866
90,4476123,K00814.01,Kepler-689 b,CONFIRMED,0.999,22.36646466,2.32,31.0,1,1.0,0.7340000000000001,0.821
91,3351888,K00801.01,Kepler-685 b,CONFIRMED,1.0,1.625522174,9.73,5.6364,1,1.0,1.106,0.935
96,3832474,K00806.01,Kepler-30 d,CONFIRMED,1.0,143.20630469999998,8.9,125.8,5,2.0,0.867,0.986
97,8395660,K00116.03,Kepler-106 b,CONFIRMED,0.95,6.1648760000000005,0.79,11.19,4,3.0,1.012,0.951
98,3832474,K00806.02,Kepler-30 c,CONFIRMED,0.745,60.32494216,12.19,77.04,5,1.0,0.867,0.986
99,3832474,K00806.03,Kepler-30 b,CONFIRMED,,29.1598615,1.91,44.2,5,,0.867,0.986
102,3935914,K00809.01,Kepler-686 b,CONFIRMED,1.0,1.5947453740000002,11.3,6.2029999999999985,1,1.0,0.893,0.901
104,4049131,K00811.01,Kepler-687 b,CONFIRMED,1.0,20.50588921,3.41,38.91,1,1.0,0.7609999999999999,0.7390000000000001
105,4139816,K00812.01,Kepler-235 b,CONFIRMED,1.0,3.340218842,2.03,12.4,4,1.0,0.493,0.502
107,5358241,K00829.01,Kepler-53 b,CONFIRMED,1.0,18.64932728,3.12,33.12,3,1.0,1.053,1.026
108,10875245,K00117.02,Kepler-107 c,CONFIRMED,1.0,4.90144976,1.7,7.78,4,3.0,1.402,1.113
109,5358241,K00829.02,Kepler-53 d,CONFIRMED,0.998,9.75192101,2.76,6.05,3,3.0,1.053,1.026
110,5358241,K00829.03,Kepler-53 c,CONFIRMED,1.0,38.557654600000006,4.02,24.9,3,2.0,1.053,1.026
111,5358624,K00830.01,Kepler-428 b,CONFIRMED,0.99,3.525632539,11.58,11.699000000000002,1,1.0,0.7929999999999999,0.855
113,4664847,K00816.01,Kepler-690 b,CONFIRMED,1.0,7.7480942389999985,5.52,15.0,1,1.0,1.085,1.181
114,4725681,K00817.01,Kepler-236 c,CONFIRMED,1.0,23.96793669,1.8,45.2,2,1.0,0.524,0.536
115,4725681,K00817.02,Kepler-236 b,CONFIRMED,0.995,8.29561738,1.82,24.8,2,2.0,0.524,0.536
116,4913852,K00818.01,Kepler-691 b,CONFIRMED,1.0,8.11437482,2.1,23.58,1,1.0,0.517,0.5529999999999999
120,10875245,K00117.01,Kepler-107 e,CONFIRMED,0.992,14.74914825,2.89,18.56,4,1.0,1.402,1.113
121,5021899,K00821.01,Kepler-692 b,CONFIRMED,1.0,21.81295996,3.38,39.183,1,1.0,0.999,0.934
124,5164255,K00824.01,Kepler-693 b,CONFIRMED,1.0,15.37562369,11.01,31.24,1,1.0,0.833,0.7929999999999999
125,5252423,K00825.01,Kepler-237 c,CONFIRMED,1.0,8.10363271,2.11,20.09,2,1.0,0.732,0.733
126,5252423,K00825.02,Kepler-237 b,CONFIRMED,1.0,4.71510843,1.46,14.18,2,2.0,0.732,0.733
127,5272878,K00826.01,Kepler-694 b,CONFIRMED,1.0,6.365839713,2.44,14.46,1,1.0,0.8490000000000001,0.939
130,5651104,K00840.01,Kepler-695 b,CONFIRMED,1.0,3.04033046,8.99,10.41,1,1.0,0.7909999999999999,0.754
131,5792202,K00841.01,Kepler-27 b,CONFIRMED,1.0,15.33528675,5.0,21.65,5,2.0,0.8170000000000001,0.926
132,10875245,K00117.04,Kepler-107 d,CONFIRMED,0.998,7.95825328,1.06,10.01,4,4.0,1.402,1.113
133,5792202,K00841.02,Kepler-27 c,CONFIRMED,1.0,31.33046135,6.5,33.19,5,1.0,0.8170000000000001,0.926
137,5436502,K00834.01,Kepler-238 e,CONFIRMED,0.999,23.65369415,7.89,23.142,5,1.0,1.384,1.083
138,5436502,K00834.02,Kepler-238 d,CONFIRMED,0.996,13.23352214,3.06,15.32,5,2.0,1.384,1.083
139,5436502,K00834.03,Kepler-238 c,CONFIRMED,0.997,6.15560285,2.32,9.34,5,3.0,1.384,1.083
140,5436502,K00834.04,Kepler-238 b,CONFIRMED,1.0,2.090811305,1.62,3.32,5,5.0,1.384,1.083
141,10875245,K00117.03,Kepler-107 b,CONFIRMED,0.995,3.180027898,1.53,6.751,4,2.0,1.402,1.113
142,5436502,K00834.05,Kepler-238 f,CONFIRMED,0.989,50.4467417,2.67,50.9,5,4.0,1.384,1.083
143,5456651,K00835.01,Kepler-239 b,CONFIRMED,1.0,11.76307164,2.35,31.76,2,1.0,0.7559999999999999,0.8490000000000001
144,5456651,K00835.02,Kepler-239 c,CONFIRMED,0.878,56.22792710000001,2.37,90.7,2,2.0,0.7559999999999999,0.8490000000000001
146,5531576,K00837.01,Kepler-240 c,CONFIRMED,1.0,7.953547,2.25,22.68,2,1.0,0.779,0.759
147,5531576,K00837.02,Kepler-240 b,CONFIRMED,1.0,4.14451656,1.48,13.767,2,2.0,0.779,0.759
149,6291653,K00850.01,Kepler-702 b,CONFIRMED,0.999,10.526294577,8.24,28.26,1,1.0,0.7929999999999999,0.82
150,6392727,K00851.01,Kepler-703 b,CONFIRMED,1.0,4.583520948,5.39,13.672,1,1.0,0.877,0.973
151,6422070,K00852.01,Kepler-704 b,CONFIRMED,0.8759999999999999,3.76181843,2.66,3.73,1,1.0,0.949,0.974
152,6428700,K00853.01,Kepler-242 b,CONFIRMED,1.0,8.20396958,3.01,13.23,2,1.0,0.826,0.785
153,6428700,K00853.02,Kepler-242 c,CONFIRMED,1.0,14.49645186,3.01,9.85,2,2.0,0.826,0.785
155,5794379,K00842.01,Kepler-241 b,CONFIRMED,1.0,12.71809866,2.31,29.5,2,1.0,0.6859999999999999,0.67
156,5794379,K00842.02,Kepler-241 c,CONFIRMED,0.999,36.06588163,2.64,63.84,2,2.0,0.6859999999999999,0.67
157,5881688,K00843.01,Kepler-696 b,CONFIRMED,1.0,4.190425659,6.21,10.6,1,1.0,1.135,1.163
158,6022556,K00844.01,Kepler-697 b,CONFIRMED,1.0,3.709870784,4.35,9.6255,1,1.0,0.978,1.013
159,6032497,K00845.01,Kepler-698 b,CONFIRMED,1.0,16.3297527,3.75,13.31,1,1.0,0.987,0.989
160,6061119,K00846.01,Kepler-699 b,CONFIRMED,0.985,27.807566215999998,13.84,43.26,1,1.0,0.785,0.865
161,6191521,K00847.01,Kepler-700 b,CONFIRMED,0.942,80.87234690000003,7.59,50.5,1,1.0,1.238,0.932
163,3531558,K00118.01,Kepler-467 b,CONFIRMED,0.912,24.99324319,2.29,24.1,1,1.0,1.317,0.961
164,6276477,K00849.01,Kepler-701 b,CONFIRMED,1.0,10.35533116,2.47,25.51,1,1.0,0.918,0.8909999999999999
165,6863998,K00867.01,Kepler-709 b,CONFIRMED,1.0,16.08518937,3.68,17.79,1,1.0,0.826,0.83
167,6948054,K00869.01,Kepler-245 b,CONFIRMED,1.0,7.49018305,2.56,21.59,4,1.0,0.787,0.823
168,6948054,K00869.02,Kepler-245 d,CONFIRMED,1.0,36.27612379999999,3.03,59.91,4,2.0,0.787,0.823
169,6948054,K00869.03,Kepler-245 c,CONFIRMED,1.0,17.46087931,2.32,49.3,4,4.0,0.787,0.823
170,6435936,K00854.01,Kepler-705 b,CONFIRMED,0.996,56.0560754,1.94,94.7,1,1.0,0.491,0.503
171,6522242,K00855.01,Kepler-706 b,CONFIRMED,0.974,41.408316686,11.38,67.69,1,1.0,0.747,0.7859999999999999
173,6587280,K00857.01,Kepler-243 b,CONFIRMED,1.0,5.715425977000001,2.47,16.74,2,1.0,0.826,0.927
174,9471974,K00119.01,Kepler-108 b,CONFIRMED,0.959,49.18394185,8.2,34.34,2,1.0,2.057,1.247
175,6587280,K00857.02,Kepler-243 c,CONFIRMED,0.994,20.0261412,2.28,34.9,2,2.0,0.826,0.927
178,6685526,K00861.01,Kepler-707 b,CONFIRMED,1.0,2.237489571,1.41,9.527,1,1.0,0.81,0.91
180,6784235,K00863.01,Kepler-708 b,CONFIRMED,1.0,3.167893418,2.62,11.389,1,1.0,0.94,1.026
181,6849310,K00864.01,Kepler-244 b,CONFIRMED,1.0,4.311780262,3.11,12.25,3,1.0,0.927,0.956
182,6849310,K00864.02,Kepler-244 d,CONFIRMED,1.0,20.0504494,2.69,32.0,3,2.0,0.927,0.956
183,6849310,K00864.03,Kepler-244 c,CONFIRMED,1.0,9.76734503,2.67,22.2,3,3.0,0.927,0.956
185,9471974,K00119.02,Kepler-108 c,CONFIRMED,0.987,190.3200468,7.78,61.0,2,2.0,2.057,1.247
187,7366258,K00880.01,Kepler-82 b,CONFIRMED,1.0,26.44439337,3.91,52.72,4,2.0,0.929,0.915
188,7366258,K00880.02,Kepler-82 c,CONFIRMED,0.983,51.53997972,5.51,63.88,4,1.0,0.929,0.915
189,7366258,K00880.03,Kepler-82 e,CONFIRMED,1.0,5.9022457820000005,2.43,15.59,4,3.0,0.929,0.915
190,7366258,K00880.04,Kepler-82 d,CONFIRMED,1.0,2.382951591,1.86,8.7,4,4.0,0.929,0.915
191,7373451,K00881.01,Kepler-712 b,CONFIRMED,1.0,21.02250608,3.07,40.546,2,1.0,0.75,0.789
192,6948054,K00869.04,Kepler-245 e,CONFIRMED,1.0,3.219814777,1.69,12.14,4,3.0,0.787,0.823
193,6949607,K00870.01,Kepler-28 b,CONFIRMED,1.0,5.912273234,1.73,19.7,2,1.0,0.57,0.586
194,6949607,K00870.02,Kepler-28 c,CONFIRMED,1.0,8.98581901,1.65,24.64,2,2.0,0.57,0.586
197,7109675,K00872.01,Kepler-46 b,CONFIRMED,1.0,33.60123371,8.46,49.6,2,1.0,0.93,0.882
198,7109675,K00872.02,Kepler-46 d,CONFIRMED,1.0,6.76652928,1.97,16.49,2,2.0,0.93,0.882
199,7118364,K00873.01,Kepler-710 b,CONFIRMED,1.0,4.347288783,2.36,16.107,1,1.0,1.122,1.014
200,7134976,K00874.01,Kepler-246 b,CONFIRMED,1.0,4.601811819,2.35,13.32,2,1.0,0.833,0.7929999999999999
201,7134976,K00874.02,Kepler-246 c,CONFIRMED,0.997,11.18719905,1.55,24.72,2,2.0,0.833,0.7929999999999999
204,7287995,K00877.01,Kepler-81 b,CONFIRMED,1.0,5.95489993,2.33,18.69,3,1.0,0.633,0.64
205,7287995,K00877.02,Kepler-81 c,CONFIRMED,1.0,12.03987488,2.18,33.32,3,2.0,0.633,0.64
206,7287995,K00877.03,Kepler-81 d,CONFIRMED,0.998,20.83762895,1.42,49.4,3,3.0,0.633,0.64
208,7303253,K00878.01,Kepler-711 b,CONFIRMED,1.0,23.58917143,3.16,16.88,1,1.0,0.721,0.6970000000000001
209,5094751,K00123.01,Kepler-109 b,CONFIRMED,1.0,6.481633072999999,2.54,7.71,2,1.0,1.3019999999999998,1.009
210,7678434,K00892.01,Kepler-716 b,CONFIRMED,1.0,10.37168928,3.2,23.0,2,1.0,0.888,0.8220000000000001
211,7678434,K00892.02,Kepler-716 c,CONFIRMED,1.0,3.96996298,1.78,15.04,2,2.0,0.888,0.8220000000000001
212,7685981,K00893.01,Kepler-717 b,CONFIRMED,1.0,4.40841331,2.66,3.45,1,1.0,0.961,0.968
214,7373451,K00881.02,Kepler-712 c,CONFIRMED,1.0,226.8904775,4.53,174.7,2,2.0,0.75,0.789
217,7434875,K00884.01,Kepler-247 c,CONFIRMED,1.0,9.439459486,4.16,26.081,3,1.0,0.779,0.8909999999999999
218,8349582,K00122.01,Kepler-95 b,CONFIRMED,1.0,11.523067458,3.13,23.181,1,1.0,1.411,1.053
219,7434875,K00884.02,Kepler-247 d,CONFIRMED,0.0,20.47748843,2.92,50.0,3,2.0,0.779,0.8909999999999999
220,7434875,K00884.03,Kepler-247 b,CONFIRMED,1.0,3.336123113,1.74,12.86,3,3.0,0.779,0.8909999999999999
221,7455287,K00886.01,Kepler-54 b,CONFIRMED,1.0,8.01078456,1.72,26.89,3,1.0,0.47,0.484
222,7455287,K00886.02,Kepler-54 c,CONFIRMED,1.0,12.07134205,1.29,21.878,3,2.0,0.47,0.484
223,7455287,K00886.03,Kepler-54 d,CONFIRMED,0.986,20.99587872,1.3,60.9,3,3.0,0.47,0.484
224,7458762,K00887.01,Kepler-713 b,CONFIRMED,1.0,7.41113177,2.45,16.55,1,1.0,0.919,1.014
226,757450,K00889.01,Kepler-75 b,CONFIRMED,0.999,8.884922995,10.51,36.466,1,1.0,0.843,0.821
227,7585481,K00890.01,Kepler-714 b,CONFIRMED,1.0,8.09888906,8.95,15.8546,1,1.0,1.0759999999999998,1.169
228,7663691,K00891.01,Kepler-715 b,CONFIRMED,1.0,10.00653012,3.52,8.17,1,1.0,1.001,1.079
229,5812701,K00012.01,Kepler-448 b,CONFIRMED,0.635,17.855221681,13.16,19.986,1,1.0,1.367,1.386
232,8039892,K00903.01,Kepler-719 b,CONFIRMED,1.0,5.007316661,6.96,9.24,1,1.0,0.8270000000000001,0.914
233,8150320,K00904.01,Kepler-55 d,CONFIRMED,1.0,2.211116989,1.85,7.83,5,1.0,0.6459999999999999,0.71
234,8150320,K00904.02,Kepler-55 b,CONFIRMED,0.997,27.9541337,1.9,55.43,5,3.0,0.6459999999999999,0.71
235,11086270,K00124.01,Kepler-110 b,CONFIRMED,0.415,12.69104387,2.57,26.076,2,1.0,1.626,1.019
237,7825899,K00896.01,Kepler-248 c,CONFIRMED,1.0,16.23947096,4.14,32.1,3,1.0,0.8370000000000001,0.937
238,7825899,K00896.02,Kepler-248 b,CONFIRMED,1.0,6.308201629,2.96,16.707,3,2.0,0.8370000000000001,0.937
239,7849854,K00897.01,Kepler-718 b,CONFIRMED,1.0,2.052349884,13.12,7.7429999999999986,1,1.0,1.08,1.0490000000000002
240,7870390,K00898.01,Kepler-83 b,CONFIRMED,1.0,9.770448599999998,2.23,31.55,3,1.0,0.509,0.508
241,7870390,K00898.02,Kepler-83 d,CONFIRMED,1.0,5.169804269,1.66,17.77,3,2.0,0.509,0.508
242,5094751,K00123.02,Kepler-109 c,CONFIRMED,1.0,21.22261195,2.48,25.344,2,2.0,1.3019999999999998,1.009
243,7870390,K00898.03,Kepler-83 c,CONFIRMED,1.0,20.09017037,2.25,20.2,3,3.0,0.509,0.508
244,7907423,K00899.01,Kepler-249 c,CONFIRMED,0.999,7.11373257,1.16,24.23,3,1.0,0.411,0.44
245,7907423,K00899.02,Kepler-249 b,CONFIRMED,0.999,3.306551643,0.91,14.19,3,2.0,0.411,0.44
246,7907423,K00899.03,Kepler-249 d,CONFIRMED,0.998,15.36845737,1.11,48.38,3,3.0,0.411,0.44
248,8490993,K00911.01,Kepler-722 b,CONFIRMED,1.0,4.093578461,2.85,5.33,2,1.0,0.999,1.077
249,8490993,K00911.02,Kepler-722 c,CONFIRMED,0.999,105.145959,3.43,34.3,2,2.0,0.999,1.077
250,8505670,K00912.01,Kepler-252 c,CONFIRMED,1.0,10.8484518,2.34,28.05,2,1.0,0.591,0.609
251,8505670,K00912.02,Kepler-252 b,CONFIRMED,1.0,6.66833241,1.18,21.0,2,2.0,0.591,0.609
252,8544996,K00913.01,Kepler-723 b,CONFIRMED,0.997,4.082274889,10.55,10.812,1,1.0,0.794,0.8859999999999999
254,8150320,K00904.03,Kepler-55 c,CONFIRMED,1.0,42.1406089,1.85,64.94,5,5.0,0.6459999999999999,0.71
255,8150320,K00904.04,Kepler-55 e,CONFIRMED,1.0,4.617490562,1.62,12.35,5,2.0,0.6459999999999999,0.71
256,8150320,K00904.05,Kepler-55 f,CONFIRMED,0.996,10.19849255,1.75,23.6,5,4.0,0.6459999999999999,0.71
258,8226994,K00906.01,Kepler-250 c,CONFIRMED,1.0,7.15681552,2.47,19.51,3,1.0,0.838,0.7979999999999999
259,8226994,K00906.02,Kepler-250 d,CONFIRMED,1.0,17.64830851,2.43,51.1,3,2.0,0.838,0.7979999999999999
260,8226994,K00906.03,Kepler-250 b,CONFIRMED,0.957,4.14810719,1.08,12.61,3,3.0,0.838,0.7979999999999999
261,8247638,K00907.01,Kepler-251 c,CONFIRMED,1.0,16.51410989,2.72,28.84,4,1.0,0.866,0.841
262,8247638,K00907.02,Kepler-251 d,CONFIRMED,1.0,30.1329298,3.14,26.8,4,2.0,0.866,0.841
263,8247638,K00907.03,Kepler-251 b,CONFIRMED,1.0,4.79090809,1.36,14.19,4,4.0,0.866,0.841
264,11086270,K00124.02,Kepler-110 c,CONFIRMED,1.0,31.71981013,3.09,50.78,2,2.0,1.626,1.019
265,8247638,K00907.04,Kepler-251 e,CONFIRMED,1.0,99.6415962,2.64,175.84,4,3.0,0.866,0.841
266,8255887,K00908.01,Kepler-720 b,CONFIRMED,1.0,4.7083264510000005,10.6,12.288,1,1.0,1.21,0.94
268,8414716,K00910.01,Kepler-721 b,CONFIRMED,1.0,5.392026903,2.68,13.58,1,1.0,0.8009999999999999,0.915
270,9141746,K00929.01,Kepler-730 b,CONFIRMED,1.0,6.491682807999999,9.66,10.84,2,1.0,1.107,1.159
272,9166862,K00931.01,Kepler-731 b,CONFIRMED,0.999,3.855603916,13.61,9.763,1,1.0,1.046,1.153
274,11449844,K00125.01,Kepler-468 b,CONFIRMED,0.92,38.47876629,13.26,66.3614,1,1.0,0.879,0.973
276,8628973,K00916.01,Kepler-724 b,CONFIRMED,1.0,3.314947362,3.94,9.37,1,1.0,0.944,0.983
278,8672910,K00918.01,Kepler-725 b,CONFIRMED,0.996,39.6431552,10.98,51.489,2,1.0,0.9,0.8440000000000001
280,8689031,K00920.01,Kepler-726 b,CONFIRMED,1.0,21.80451611,2.6,34.7,1,1.0,0.708,0.8059999999999999
281,8689373,K00921.01,Kepler-253 c,CONFIRMED,1.0,10.28194593,2.53,23.23,3,2.0,0.775,0.8690000000000001
282,8689373,K00921.02,Kepler-253 d,CONFIRMED,1.0,18.11993039,2.95,33.19,3,1.0,0.775,0.8690000000000001
283,8689373,K00921.03,Kepler-253 b,CONFIRMED,1.0,3.78402867,1.7,11.45,3,3.0,0.775,0.8690000000000001
284,8826878,K00922.01,Kepler-727 b,CONFIRMED,1.0,5.15448142,2.94,5.43,1,1.0,0.884,0.816
286,8883593,K00923.01,Kepler-728 b,CONFIRMED,1.0,5.743469797,3.13,13.174,1,1.0,0.8909999999999999,0.983
289,9077124,K00926.01,Kepler-729 b,CONFIRMED,1.0,3.166353562,3.82,7.5775,1,1.0,0.998,1.072
291,9466668,K00939.01,Kepler-256 c,CONFIRMED,1.0,3.388012244,2.11,8.88,4,1.0,1.25,0.949
292,9466668,K00939.02,Kepler-256 d,CONFIRMED,1.0,5.83909761,2.06,13.38,4,2.0,1.25,0.949
293,9466668,K00939.03,Kepler-256 b,CONFIRMED,1.0,1.620467654,1.57,5.55,4,3.0,1.25,0.949
294,9466668,K00939.04,Kepler-256 e,CONFIRMED,1.0,10.6816951,2.3,17.8,4,4.0,1.25,0.949
295,9479273,K00940.01,Kepler-734 b,CONFIRMED,1.0,6.1048494170000005,3.18,10.3581,1,1.0,0.7120000000000001,0.71
296,8359498,K00127.01,Kepler-77 b,CONFIRMED,0.999,3.5787805660000003,10.43,10.2873,1,1.0,0.994,0.95
298,9334289,K00934.01,Kepler-254 b,CONFIRMED,1.0,5.826657507999999,4.09,15.796,3,1.0,1.06,0.943
299,9334289,K00934.02,Kepler-254 c,CONFIRMED,0.998,12.41216347,2.58,25.93,3,3.0,1.06,0.943
300,9334289,K00934.03,Kepler-254 d,CONFIRMED,1.0,18.74649011,3.05,32.8,3,2.0,1.06,0.943
301,9347899,K00935.01,Kepler-31 b,CONFIRMED,1.0,20.86021229,5.5,31.855,4,1.0,1.257,0.958
302,9347899,K00935.02,Kepler-31 c,CONFIRMED,1.0,42.63427848,5.22,54.02,4,2.0,1.257,0.958
303,9347899,K00935.03,Kepler-31 d,CONFIRMED,0.973,87.64760679999998,4.0,76.88,4,3.0,1.257,0.958
305,9388479,K00936.01,Kepler-732 b,CONFIRMED,0.953,9.467821473999999,2.13,30.913,2,1.0,0.458,0.491
