,kepid,kepoi_name,kepler_name,koi_disposition,koi_score (1 = planet),orbital_period (days),planet_radius(to_Earth),planet_star_dist (AU),planet_canidates,num_accecpted_koi,sun_radius (solar_radii),sun_mass (solar_mass)
1629,4636578,K02025.02,Kepler-350 d,CONFIRMED,0.998,26.1363443,2.8,30.2,3,2.0,1.465,1.111
1630,4636578,K02025.03,Kepler-350 b,CONFIRMED,0.996,11.1895709,1.81,13.8,3,3.0,1.465,1.111
1631,11923284,K02026.01,Kepler-1061 b,CONFIRMED,1.0,2.757977384,1.69,5.13,1,1.0,1.0,0.994
1633,5621125,K01814.01,Kepler-959 b,CONFIRMED,1.0,14.80075082,17.38,18.71,1,1.0,7.6629999999999985,2.6460000000000004
1634,9872283,K01815.01,Kepler-960 b,CONFIRMED,1.0,3.126861192,5.12,16.67,2,1.0,1.749,0.97
1637,7870032,K01818.01,Kepler-961 b,CONFIRMED,1.0,16.87725775,2.54,30.2,1,1.0,0.872,0.901
1638,9597058,K01819.01,Kepler-962 b,CONFIRMED,1.0,12.05705659,1.96,33.9,1,1.0,0.8340000000000001,0.873
1639,4035640,K01881.01,Kepler-995 b,CONFIRMED,1.0,28.26727385,2.93,48.54,1,1.0,0.8859999999999999,0.82
1640,6205228,K01882.01,Kepler-996 b,CONFIRMED,1.0,3.770590654,2.13,14.03,1,1.0,1.208,0.999
1641,11758544,K01883.01,Kepler-997 b,CONFIRMED,0.999,2.7073064,1.36,6.09,1,1.0,1.629,1.133
1644,3118797,K01950.01,Kepler-1024 b,CONFIRMED,0.894,66.4159789,3.44,69.9,1,1.0,0.759,0.851
1645,7747425,K01952.01,Kepler-341 c,CONFIRMED,0.997,8.010392900000001,1.88,14.546,4,1.0,1.111,0.957
1647,7747425,K01952.02,Kepler-341 d,CONFIRMED,0.967,27.6666375,2.04,29.27,4,2.0,1.111,0.957
1648,7747425,K01952.03,Kepler-341 b,CONFIRMED,1.0,5.19559398,1.18,10.69,4,4.0,1.111,0.957
1649,7102316,K02028.01,Kepler-351 c,CONFIRMED,0.998,57.24885179999999,3.19,74.36,3,1.0,0.846,0.91
1650,7102316,K02028.02,Kepler-351 b,CONFIRMED,1.0,37.05517260000001,3.19,28.0,3,2.0,0.846,0.91
1651,9489524,K02029.01,Kepler-352 c,CONFIRMED,1.0,16.33269981,1.61,28.2,4,1.0,0.772,0.7959999999999999
1652,9489524,K02029.02,Kepler-352 b,CONFIRMED,1.0,10.05550267,0.92,26.28,4,2.0,0.772,0.7959999999999999
1653,5940165,K02031.01,Kepler-1062 b,CONFIRMED,1.0,9.30413878,1.67,33.2,1,1.0,0.6579999999999999,0.645
1654,8277797,K01820.01,Kepler-322 c,CONFIRMED,1.0,4.33722007,1.63,13.488,2,1.0,0.8759999999999999,0.883
1655,8277797,K01820.02,Kepler-322 b,CONFIRMED,0.973,1.653889476,0.97,7.24,2,2.0,0.8759999999999999,0.883
1656,5124667,K01822.01,Kepler-1672 b,CONFIRMED,1.0,150.8783198,4.37,135.82,1,1.0,1.737,1.099
1657,2989404,K01824.01,Kepler-323 c,CONFIRMED,1.0,3.553831111,1.62,6.12,2,1.0,1.081,0.998
1658,2989404,K01824.02,Kepler-323 b,CONFIRMED,1.0,1.6783263,1.57,2.47,2,2.0,1.081,0.998
1659,11413812,K01885.01,Kepler-998 b,CONFIRMED,1.0,5.65378163,1.82,20.37,1,1.0,0.934,1.021
1660,9549648,K01886.01,Kepler-999 b,CONFIRMED,1.0,5.99185827,2.75,12.27,1,1.0,1.695,1.173
1661,10063802,K01888.01,Kepler-1000 b,CONFIRMED,0.978,120.0183551,4.54,66.9,1,1.0,1.467,1.406
1662,11074178,K01889.01,Kepler-1001 b,CONFIRMED,1.0,14.30517579,3.05,11.17,2,1.0,0.846,0.938
1663,11074178,K01889.02,Kepler-1001 c,CONFIRMED,0.976,9.18189122,2.17,5.32,2,2.0,0.846,0.938
1666,6206214,K02252.01,Kepler-1158 b,CONFIRMED,0.999,13.53953595,2.32,23.26,1,1.0,1.997,1.406
1667,8959839,K02253.01,Kepler-1159 b,CONFIRMED,1.0,22.7082375,1.72,50.29,1,1.0,0.992,1.063
1668,7672097,K02255.01,Kepler-1160 b,CONFIRMED,0.996,7.97033985,1.81,23.17,1,1.0,0.818,0.907
1670,5599774,K02337.01,Kepler-1195 b,CONFIRMED,1.0,8.49640437,2.14,23.9,1,1.0,0.7090000000000001,0.7070000000000001
1671,8099138,K02338.01,Kepler-1196 b,CONFIRMED,0.998,66.18436460000001,2.72,52.0,1,1.0,0.978,0.977
1672,7033233,K02339.01,Kepler-1197 b,CONFIRMED,1.0,2.032318856,1.12,13.6,2,1.0,0.682,0.7609999999999999
1675,9411412,K02101.01,Kepler-1096 b,CONFIRMED,0.998,2.892216772,1.31,10.19,1,1.0,0.615,0.625
1676,7008211,K02102.01,Kepler-1097 b,CONFIRMED,0.996,187.746606,2.95,252.45,1,1.0,0.753,0.7340000000000001
1677,7620413,K02103.01,Kepler-1098 b,CONFIRMED,0.999,2.543063763,1.26,6.769,2,1.0,1.029,0.945
1678,4545187,K00223.01,Kepler-121 b,CONFIRMED,1.0,3.177414601,2.65,10.72,2,1.0,0.708,0.785
1679,10854546,K02104.01,Kepler-1099 b,CONFIRMED,1.0,2.168451063,2.41,11.36,1,1.0,1.109,1.077
1680,11774991,K02173.01,Kepler-367 b,CONFIRMED,0.999,37.8154157,1.21,53.6,2,1.0,0.705,0.79
1681,11774991,K02173.02,Kepler-367 c,CONFIRMED,0.0,53.5783052,1.16,52.2,2,2.0,0.705,0.79
1685,9112931,K02256.01,Kepler-1161 b,CONFIRMED,1.0,10.71253475,2.02,22.37,1,1.0,0.544,0.561
1686,9071593,K02257.01,Kepler-1162 b,CONFIRMED,1.0,32.563524900000004,2.05,43.7,2,1.0,0.8590000000000001,0.861
1688,11811193,K02260.01,Kepler-1163 b,CONFIRMED,1.0,6.11784972,1.05,12.57,1,1.0,1.3330000000000002,1.143
1689,3734418,K02261.01,Kepler-1164 b,CONFIRMED,0.997,3.97599629,1.11,13.22,2,1.0,0.778,0.8029999999999999
